entry_exit_time,side,entry_price,exit_price,pnl_usd,equity_after,exit_reason,entry_probability
"Entry: 2025-03-20 07:00:00
Exit: 2025-03-24 14:00:00",short,85966.11,88354.48,-119.42,9880.58,stop_loss,37.12%
"Entry: 2025-03-24 19:00:00
Exit: 2025-03-25 07:30:00",short,88482.90,86358.21,106.23,9986.82,reversal,23.14%
"Entry: 2025-03-25 20:00:00
Exit: 2025-03-26 16:45:00",short,88380.00,86513.99,93.30,10080.12,reversal,20.37%
"Entry: 2025-03-27 09:00:00
Exit: 2025-03-28 11:00:00",short,87482.88,84817.61,133.26,10213.38,reversal,27.05%
"Entry: 2025-03-29 17:00:00
Exit: 2025-04-02 17:00:00",long,81909.58,87223.99,265.72,10479.10,reversal,34.20%
"Entry: 2025-04-03 14:45:00
Exit: 2025-04-04 09:45:00",long,81532.00,84571.38,151.97,10631.07,reversal,50.58%
"Entry: 2025-04-06 11:00:00
Exit: 2025-04-06 18:00:00",long,82752.63,80312.34,-122.01,10509.05,stop_loss,27.33%
"Entry: 2025-04-07 04:30:00
Exit: 2025-04-09 01:15:00",long,76807.07,74690.57,-105.83,10403.23,stop_loss,40.66%
"Entry: 2025-04-10 02:00:00
Exit: 2025-04-12 14:15:00",short,82510.28,84884.73,-118.72,10284.51,stop_loss,37.29%
"Entry: 2025-04-15 08:30:00
Exit: 2025-04-21 14:15:00",short,85878.94,88366.04,-124.35,10160.15,stop_loss,27.33%
"Entry: 2025-04-22 19:15:00
Exit: 2025-04-23 04:45:00",short,91640.00,93665.99,-101.30,10058.85,stop_loss,25.32%
"Entry: 2025-04-23 12:00:00
Exit: 2025-05-01 10:15:00",short,93782.61,96318.77,-126.81,9932.04,stop_loss,26.90%
"Entry: 2025-05-01 15:00:00
Exit: 2025-05-03 08:00:00",short,97384.98,96160.01,61.25,9993.29,reversal,25.41%
"Entry: 2025-05-05 01:45:00
Exit: 2025-05-07 10:30:00",long,93929.00,97054.34,156.27,10149.56,reversal,39.76%
"Entry: 2025-05-08 10:15:00
Exit: 2025-05-08 20:30:00",short,99818.00,102114.10,-114.81,10034.76,stop_loss,37.95%
"Entry: 2025-05-09 20:15:00
Exit: 2025-05-10 19:00:00",short,103318.08,103085.53,11.63,10046.38,reversal,37.24%
"Entry: 2025-05-14 14:15:00
Exit: 2025-05-18 22:45:00",long,103081.20,105928.10,142.35,10188.73,reversal,30.38%
"Entry: 2025-05-19 17:45:00
Exit: 2025-05-21 04:30:00",short,105380.95,107521.40,-107.02,10081.71,stop_loss,44.04%
"Entry: 2025-05-26 01:30:00
Exit: 2025-05-26 22:45:00",short,109635.90,109190.48,22.27,10103.98,reversal,24.54%
"Entry: 2025-05-27 02:45:00
Exit: 2025-05-29 17:30:00",long,108272.72,106156.42,-105.82,9998.16,stop_loss,36.32%
"Entry: 2025-06-01 20:30:00
Exit: 2025-06-02 13:45:00",short,105262.63,103800.00,73.13,10071.29,reversal,15.06%
"Entry: 2025-06-07 13:30:00
Exit: 2025-06-09 11:30:00",short,105651.17,107737.42,-104.31,9966.98,stop_loss,27.86%
"Entry: 2025-06-10 00:15:00
Exit: 2025-06-10 18:00:00",short,110277.53,108707.54,78.50,10045.48,reversal,31.39%
"Entry: 2025-06-12 07:30:00
Exit: 2025-06-13 00:00:00",long,107592.85,104328.68,-163.21,9882.27,stop_loss,32.69%
"Entry: 2025-06-14 08:00:00
Exit: 2025-06-16 06:15:00",long,104896.74,106712.05,90.77,9973.04,reversal,33.32%
"Entry: 2025-06-16 22:00:00
Exit: 2025-06-17 13:30:00",short,108783.77,105317.85,173.30,10146.33,reversal,39.68%
"Entry: 2025-06-20 23:00:00
Exit: 2025-06-22 13:30:00",long,103041.41,100343.92,-134.87,10011.46,stop_loss,19.36%
"Entry: 2025-06-24 06:30:00
Exit: 2025-06-25 13:15:00",short,105693.71,107870.16,-108.82,9902.64,stop_loss,17.74%
"Entry: 2025-06-26 15:30:00
Exit: 2025-06-27 22:15:00",long,106923.02,107178.18,12.76,9915.39,reversal,22.13%
"Entry: 2025-06-30 01:30:00
Exit: 2025-06-30 10:00:00",short,108759.98,107460.00,65.00,9980.39,reversal,23.88%
"Entry: 2025-07-01 23:00:00
Exit: 2025-07-02 10:45:00",long,105384.73,107848.95,123.21,10103.60,reversal,26.36%
"Entry: 2025-07-04 19:15:00
Exit: 2025-07-06 00:30:00",long,107274.00,108249.99,48.80,10152.40,reversal,34.25%
"Entry: 2025-07-06 02:00:00
Exit: 2025-07-09 19:15:00",short,108250.00,110346.01,-104.80,10047.60,stop_loss,37.46%
"Entry: 2025-07-11 09:30:00
Exit: 2025-07-14 03:30:00",short,118583.87,121169.58,-129.29,9918.32,stop_loss,21.56%
"Entry: 2025-07-15 10:00:00
Exit: 2025-07-16 17:15:00",long,116744.49,119635.87,144.57,10062.89,reversal,22.46%
"Entry: 2025-07-16 18:30:00
Exit: 2025-07-18 18:45:00",short,119710.06,117310.72,119.97,10182.85,reversal,43.58%
"Entry: 2025-07-22 13:30:00
Exit: 2025-07-23 21:15:00",short,119464.00,117559.99,95.20,10278.05,reversal,52.65%
"Entry: 2025-07-24 06:30:00
Exit: 2025-07-24 13:15:00",long,117450.00,118686.00,61.80,10339.85,reversal,30.01%
"Entry: 2025-07-24 18:00:00
Exit: 2025-07-25 07:30:00",short,119304.49,115181.06,206.17,10546.03,reversal,42.80%
"Entry: 2025-07-25 14:45:00
Exit: 2025-07-25 22:30:00",long,114960.01,117340.15,119.01,10665.03,reversal,13.12%
"Entry: 2025-07-26 08:45:00
Exit: 2025-07-27 22:00:00",short,117557.14,119701.24,-107.21,10557.83,stop_loss,27.50%
"Entry: 2025-07-30 08:45:00
Exit: 2025-08-01 22:30:00",short,118372.73,113066.00,265.34,10823.16,reversal,39.46%
"Entry: 2025-08-04 17:00:00
Exit: 2025-08-05 05:30:00",short,115696.79,114244.91,72.59,10895.76,reversal,28.02%
"Entry: 2025-08-07 22:45:00
Exit: 2025-08-11 01:30:00",short,117554.23,119758.90,-110.23,10785.52,stop_loss,38.93%
"Entry: 2025-08-11 22:15:00
Exit: 2025-08-12 19:15:00",long,118517.99,119820.39,65.12,10850.64,reversal,43.56%
"Entry: 2025-08-12 23:30:00
Exit: 2025-08-13 19:15:00",short,120244.55,122358.00,-105.67,10744.97,stop_loss,45.53%
"Entry: 2025-08-14 21:30:00
Exit: 2025-08-17 08:45:00",long,117567.57,118366.06,39.92,10784.90,reversal,37.20%
"Entry: 2025-08-17 13:45:00
Exit: 2025-08-18 05:30:00",short,118429.99,115163.67,163.32,10948.21,reversal,34.21%
"Entry: 2025-08-18 11:45:00
Exit: 2025-08-19 19:00:00",long,114947.27,112814.00,-106.66,10841.55,stop_loss,22.78%
"Entry: 2025-08-21 19:30:00
Exit: 2025-08-22 18:00:00",long,112104.59,117410.00,265.27,11106.82,reversal,35.35%
"Entry: 2025-08-25 13:30:00
Exit: 2025-08-29 14:00:00",long,110831.99,108759.46,-103.63,11003.19,stop_loss,41.17%
"Entry: 2025-08-31 01:45:00
Exit: 2025-08-31 06:15:00",short,109429.01,108578.95,42.50,11045.70,reversal,15.09%
"Entry: 2025-09-01 03:15:00
Exit: 2025-09-02 06:15:00",long,107505.21,110446.02,147.04,11192.74,reversal,41.42%
"Entry: 2025-09-03 13:30:00
Exit: 2025-09-04 10:45:00",short,111673.44,110628.86,52.23,11244.97,reversal,29.48%
"Entry: 2025-09-05 17:30:00
Exit: 2025-09-07 11:45:00",long,110359.69,111292.13,46.62,11291.59,reversal,40.01%
"Entry: 2025-09-08 13:00:00
Exit: 2025-09-11 03:45:00",short,112328.00,114400.01,-103.60,11187.99,stop_loss,37.83%
"Entry: 2025-09-12 23:30:00
Exit: 2025-09-14 15:45:00",short,116152.33,115224.01,46.42,11234.40,reversal,28.63%
"Entry: 2025-09-16 01:45:00
Exit: 2025-09-16 20:30:00",long,115024.24,116874.07,92.49,11326.89,reversal,26.06%
"Entry: 2025-09-18 01:30:00
Exit: 2025-09-19 19:45:00",short,116832.31,115125.12,85.36,11412.25,reversal,58.07%
"Entry: 2025-09-21 04:45:00
Exit: 2025-09-22 06:00:00",long,115494.23,113010.87,-124.17,11288.09,stop_loss,24.05%
"Entry: 2025-09-23 03:00:00
Exit: 2025-09-24 17:00:00",long,111810.11,113860.02,102.50,11390.58,reversal,21.01%
"Entry: 2025-09-26 00:30:00
Exit: 2025-09-28 00:15:00",long,108809.25,109787.74,48.92,11439.51,reversal,50.33%
"Entry: 2025-09-29 17:45:00
Exit: 2025-09-30 15:15:00",short,114043.91,113050.33,49.68,11489.18,reversal,41.74%
"Entry: 2025-10-01 21:00:00
Exit: 2025-10-02 13:45:00",short,117579.43,119621.20,-102.09,11387.10,stop_loss,25.73%
"Entry: 2025-10-06 02:45:00
Exit: 2025-10-07 18:15:00",short,124110.61,120747.51,168.16,11555.25,reversal,31.23%
"Entry: 2025-10-08 05:30:00
Exit: 2025-10-10 15:15:00",long,121292.76,119252.86,-101.99,11453.26,stop_loss,26.25%
"Entry: 2025-10-12 22:30:00
Exit: 2025-10-14 07:30:00",short,115389.99,111668.97,186.05,11639.31,reversal,24.24%
"Entry: 2025-10-14 22:00:00
Exit: 2025-10-16 06:00:00",short,113440.01,110938.47,125.08,11764.38,reversal,60.28%
"Entry: 2025-10-16 18:15:00
Exit: 2025-10-17 07:30:00",long,107865.79,105759.73,-105.30,11659.08,stop_loss,44.15%
"Entry: 2025-10-19 15:00:00
Exit: 2025-10-20 05:00:00",short,108499.03,110544.51,-102.27,11556.81,stop_loss,26.77%
"Entry: 2025-10-20 14:15:00
Exit: 2025-10-21 08:30:00",short,111275.05,107599.81,183.76,11740.57,reversal,37.37%
"Entry: 2025-10-22 18:00:00
Exit: 2025-10-26 13:30:00",long,107734.85,113846.36,305.58,12046.14,reversal,20.44%
"Entry: 2025-10-26 19:15:00
Exit: 2025-10-27 06:15:00",short,113690.44,115746.68,-102.81,11943.33,stop_loss,25.43%
"Entry: 2025-10-28 05:45:00
Exit: 2025-10-29 15:45:00",long,113605.31,111509.74,-104.78,11838.55,stop_loss,28.12%
"Entry: 2025-11-02 11:45:00
Exit: 2025-11-02 20:15:00",short,111196.99,109921.91,63.75,11902.31,reversal,22.05%
"Entry: 2025-11-03 09:45:00
Exit: 2025-11-04 05:30:00",long,107197.94,104944.32,-112.68,11789.63,stop_loss,20.41%
"Entry: 2025-11-04 09:00:00
Exit: 2025-11-04 17:00:00",long,103832.94,101339.92,-124.65,11664.98,stop_loss,26.58%
"Entry: 2025-11-05 01:15:00
Exit: 2025-11-05 20:00:00",long,99113.39,104520.00,270.33,11935.31,reversal,32.81%
"Entry: 2025-11-08 07:15:00
Exit: 2025-11-09 16:45:00",long,102083.20,103845.04,88.09,12023.40,reversal,22.78%
"Entry: 2025-11-09 23:00:00
Exit: 2025-11-12 19:15:00",short,104935.20,101085.61,192.48,12215.88,reversal,29.27%
